		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  239  235  254  278  207  229  225  242 14.116057 0.078790 SUCCESS   0
000000011  217  257  263  240  237  241  247  218  8.584024 0.378592 SUCCESS   1
000000101  215  234  221  237  227  230  252  239  8.970621 0.344780 SUCCESS   2
000000111  257  247  258  242  246  243  260  223  4.550714 0.804338 SUCCESS   3
000001001  255  275  262  249  231  230  232  233  8.716420 0.366780 SUCCESS   4
000001011  225  266  220  234  237  254  251  249  7.406230 0.493503 SUCCESS   5
000001101  222  232  251  248  240  233  254  240  4.042313 0.853286 SUCCESS   6
000001111  238  242  251  223  232  254  241  204 10.167480 0.253467 SUCCESS   7
000010001  242  234  259  261  244  218  242  246  5.523030 0.700487 SUCCESS   8
000010011  245  244  233  233  261  263  235  221  6.386252 0.604050 SUCCESS   9
000010101  238  277  232  243  267  240  251  236  8.134937 0.420401 SUCCESS  10
000010111  237  278  241  231  257  257  260  228  9.421826 0.307969 SUCCESS  11
000011001  224  232  277  262  239  273  228  248 13.080191 0.109120 SUCCESS  12
000011011  228  236  245  242  258  224  262  255  5.789940 0.670748 SUCCESS  13
000011101  249  256  281  255  257  250  254  248  8.285339 0.406105 SUCCESS  14
000011111  262  238  224  248  220  256  229  228  8.426208 0.392981 SUCCESS  15
000100011  226  252  267  249  272  217  236  229 11.630191 0.168482 SUCCESS  16
000100101  250  253  225  246  233  236  245  273  6.384133 0.604286 SUCCESS  17
000100111  235  247  234  232  263  261  228  242  5.281540 0.727104 SUCCESS  18
000101001  247  222  216  242  221  229  233  217 12.355721 0.136024 SUCCESS  19
000101011  236  255  216  246  261  248  259  240  6.426500 0.599571 SUCCESS  20
000101101  228  243  252  234  246  252  221  262  5.700970 0.680687 SUCCESS  21
000101111  232  236  251  242  256  254  250  250  2.424964 0.965138 SUCCESS  22
000110011  232  240  237  243  255  241  239  242  1.588222 0.991144 SUCCESS  23
000110101  253  250  255  247  252  246  230  240  2.211013 0.973850 SUCCESS  24
000110111  244  266  230  267  245  242  250  257  5.960466 0.651660 SUCCESS  25
000111001  264  248  263  260  247  237  271  253  7.958056 0.437578 SUCCESS  26
000111011  261  286  260  250  230  236  264  254 13.061126 0.109764 SUCCESS  27
000111101  246  226  245  209  250  231  262  214 12.711601 0.122165 SUCCESS  28
000111111  269  236  222  252  239  264  248  220  9.552104 0.297879 SUCCESS  29
001000011  256  246  261  244  243  220  270  258  7.942169 0.439140 SUCCESS  30
001000101  219  229  226  237  244  252  252  264  7.449656 0.488983 SUCCESS  31
001000111  261  245  271  253  244  248  213  238  8.930372 0.348204 SUCCESS  32
001001011  243  270  236  234  232  264  258  267  8.884828 0.352105 SUCCESS  33
001001101  252  225  245  237  233  244  251  223  4.646039 0.794651 SUCCESS  34
001001111  257  214  251  228  262  249  222  227 10.619745 0.224189 SUCCESS  35
001010011  238  219  211  227  227  228  230  228 13.015582 0.111315 SUCCESS  36
001010101  244  267  246  229  248  233  248  238  4.011598 0.856076 SUCCESS  37
001010111  248  237  221  267  272  258  251  246  9.083952 0.335264 SUCCESS  38
001011011  227  240  265  238  233  234  234  276  9.017224 0.340845 SUCCESS  39
001011101  265  235  241  235  227  247  232  229  5.462657 0.707174 SUCCESS  40
001011111  247  232  242  260  265  271  245  258  7.469780 0.486895 SUCCESS  41
